id_cliente,data_cadastro,nome_completo,cpf,data_nascimento,genero,cidade,estado,profissao,renda_mensal_bruta,score_credito_inicial,segmento_cliente,status_conta,data_ultimo_login,data_cancelamento
1,2023-10-29,Davi Miguel Sousa,189.430.652-05,1951-01-29,Masculino,Montenegro,RN,Almoxarife,15218.68,434.69,Premium,Cancelada,2024-04-27,
2,2023-06-08,Hellena Machado,940.613.257-52,1991-02-27,Outro,Teixeira,MT,Caça-talentos/Olheiro,18005.32,347.82,Standard,Ativa,2024-12-21,
3,2021-02-02,Raul Nascimento,169.428.530-89,1955-03-28,Masculino,Aparecida,RO,Embalador,5804.23,631.11,Economy,Ativa,2024-12-08,2023-10-30
4,2024-06-29,Mateus da Mota,752.961.830-02,2006-10-08,Outro,Nascimento,SC,Engenheiro civil,11581.42,421.24,Economy,Inativa,2025-06-18,
5,2021-06-11,Hellena Rodrigues,503.682.719-86,1971-08-21,Masculino,Nunes,RR,Forneiro,15537.94,387.81,Standard,Inativa,2025-08-01,
6,2021-09-09,Natália Casa Grande,423.596.871-82,1978-08-01,Masculino,Fonseca de Goiás,BA,Panfleteiro,19208.44,485.13,Premium,Inativa,2025-03-05,
7,2023-02-04,Otávio Peixoto,168.437.250-07,1993-06-18,Feminino,Rodrigues,PI,Engenheiro físico,12668.93,743.92,Economy,Inativa,2025-04-11,2023-06-25
8,2024-06-21,Rafael Abreu,482.907.153-23,1969-05-11,Feminino,Nogueira,SP,Perfusionista,2957.8,461.25,Economy,Cancelada,2024-10-23,
9,2025-03-22,Luiz Miguel das Neves,309.485.762-00,1984-05-14,Feminino,Ribeiro,PR,Polidor de produção,12181.01,687.51,Premium,Cancelada,2025-06-02,
10,2021-06-14,Vitor Hugo Sá,346.572.981-19,1980-03-26,Feminino,da Cruz,ES,Atleta de arremesso de peso,19726.6,770.42,Premium,Inativa,2023-12-26,
11,2022-04-26,André Barbosa,031.926.785-77,1983-10-01,Outro,Nogueira,BA,Violonista,16931.04,389.46,Standard,Ativa,2023-01-29,
